Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25442806,Historien om Brunet,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""8773657298""","=""""",2,3.46,Peter Asschenfeldt's Stjernebøger A/S (Vintens Forlag A/S),Hardcover,189,1985,1981,,2021/10/01,,,read,,,,1,0
16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Keller, Gary",Jay Papasan,"=""1885167776""","=""9781885167774""",2,4.13,Bard Press,Hardcover,240,2013,2012,,2018/09/14,,,read,,,,1,0
10339170,The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,"Cardone, Grant",,"=""0470627603""","=""9780470627600""",2,3.93,Wiley,Hardcover,240,2011,2011,,2018/09/14,,,read,,,,1,0
6043946,The 50th Law: Overcoming Adversity Through Fearlessness,Curtis '50 Cent' Jackson,"Jackson, Curtis '50 Cent'",Robert Greene,"=""006177460X""","=""9780061774607""",4,4.17,HarperStudio,Imitation Leather,291,2009,2008,,2018/08/21,,,read,,,,1,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",5,4.46,Scribner,Hardcover,400,2016,2016,,2020/04/08,,,read,,,,1,0
234225,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,"=""0340839937""","=""9780340839935""",4,4.28,Hodder,Paperback,604,2006,1965,2021/02/18,2018/10/15,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.03,Vintage International,Paperback,123,1989,1942,,2020/10/19,,,read,,,,1,0
20262396,Faldet,Albert Camus,"Camus, Albert",Hans Peter Lund,"=""8702097885""","=""9788702097887""",3,4.03,Gyldendal,Hardcover,115,2010,1956,,2021/08/07,,,read,,,,1,0
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James",Seamus Deane,"=""0142437344""","=""9780142437346""",1,3.64,Penguin Classics,Paperback,329,2003,1916,,2020/10/21,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",5,4.35,Riverhead Books,Paperback,371,2004,2003,,2020/12/25,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",2,3.80,Back Bay Books,Paperback,277,2001,1951,,2020/04/21,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""0152023984""","=""9780152023980""",4,4.33,"Harcourt, Inc.",Hardcover,96,2000,1943,,2018/08/21,,,read,,,,1,0
1321410,Education Automation: Freeing the scholar to return to his studies,R. Buckminster Fuller,"Fuller, R. Buckminster",Charles D. Tenney,"=""0809301377""","=""9780809301379""",4,4.46,Southern Illinois University Press,Paperback,96,1964,1962,,2020/10/19,,,read,,,,1,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",3,3.96,Random House ,Hardcover,480,2007,2007,,2018/08/21,,,read,,,,1,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",3,4.02,Vintage International,Paperback,308,1991,1947,,2021/04/11,,,read,,,,1,0
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",3,4.07,Vintage Books,Paperback,204,1998,1971,,2020/04/08,,,read,,,,1,0
1065799,The Sharks,Jens Bjørneboe,"Bjørneboe, Jens",Esther Greenleaf Mürer,"=""1870041208""","=""9781870041201""",4,4.03,Norvik Pr,Paperback,241,1992,1974,,2020/04/08,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",5,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2020/04/08,,,read,,,,1,0
1319,The War of Art,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""0446691437""","=""9780446691437""",5,3.98,Warner Books,Paperback,168,2003,2002,,2020/01/08,,,read,,,,1,0
50270,Master and Man,Leo Tolstoy,"Tolstoy, Leo",,"=""1421803674""","=""9781421803678""",4,4.00,,Hardcover,57,2006,1895,,2019/01/31,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",3,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2018/08/21,,,read,,,,1,0
13,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,"=""0345453743""","=""9780345453747""",3,4.38,Del Rey Books,Paperback,815,2002,1996,,2020/10/21,,,read,,,,1,0
16631,Steppenwolf,Hermann Hesse,"Hesse, Hermann",Basil Creighton,"=""0140282580""","=""9780140282580""",5,4.13,Penguin,Paperback,256,1999,1927,,2018/08/28,,,read,,,,1,0
81940,Mastery: The Keys to Success and Long-Term Fulfillment,George Leonard,"Leonard, George",,"=""0452267560""","=""9780452267565""",4,4.09,Plume,Paperback,176,1992,1991,,2018/08/21,,,read,,,,1,0
7155145,Linchpin: Are You Indispensable?,Seth Godin,"Godin, Seth",,"=""1591843162""","=""9781591843160""",3,3.83,Portfolio,Hardcover,244,2010,2010,,2018/08/19,,,read,,,,1,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",3,4.22,Gallery Books,Paperback,288,1998,1936,,2018/08/19,,,read,,,,1,0
38501,Ham on Rye,Charles Bukowski,"Bukowski, Charles",,"=""006117758X""","=""9780061177583""",5,4.14,Ecco,Paperback,288,2014,1982,,2018/08/21,,,read,,,,1,0
34758995,"Unscripted: Life, Liberty, and the Pursuit of Entrepreneurship",M.J. DeMarco,"DeMarco, M.J.",,"=""0984358161""","=""9780984358168""",4,4.40,Viperion Publishing Corporation,Paperback,432,2023,2017,,2018/08/27,,,read,,,,1,0
14546626,Total Recall: My Unbelievably True Life Story,Arnold Schwarzenegger,"Schwarzenegger, Arnold",Peter Petre,"=""1451662432""","=""9781451662436""",4,4.17,Simon & Schuster,Hardcover,656,2012,2012,,2018/08/19,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",3,3.92,HarperCollins,Paperback,197,1993,1988,,2018/08/19,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",4,4.28,Penguin,Paperback,671,2002,1866,,2019/02/02,,,read,,,,1,0
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",3,3.91,Harmony,ebook,308,2007,2007,,2018/08/19,,,read,,,,1,0
7147831,"Min kamp 1 (Min kamp, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8252574580""","=""9788252574586""",0,4.10,Forlaget Oktober,Hardcover,435,2009,2009,,2022/04/07,to-read,to-read (#154),to-read,,,,0,0
121410,Adrift: Seventy-Six Days Lost at Sea,Steven Callahan,"Callahan, Steven",,"=""0618257322""","=""9780618257324""",0,4.14,Mariner Books,Paperback,344,2002,1986,,2022/03/02,to-read,to-read (#153),to-read,,,,0,0
22245334,"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,"Graeber, David",,"=""1612193749""","=""9781612193748""",0,4.02,Melville House,Hardcover,261,2015,2013,,2022/01/24,to-read,to-read (#152),to-read,,,,0,0
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",0,4.00,W. W. Norton & Company,Paperback,240,2019,1962,,2022/01/23,to-read,to-read (#151),to-read,,,,0,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.45,Riverhead Books,Hardcover,372,2007,2007,,2022/01/23,to-read,to-read (#150),to-read,,,,0,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""0345803922""","=""9780345803924""",0,4.10,Vintage,Paperback,964,2012,1878,,2022/01/18,to-read,to-read (#149),to-read,,,,0,0
39079243,K-punk: The Collected and Unpublished Writings of Mark Fisher,Mark Fisher,"Fisher, Mark","Simon Reynolds, Darren Ambrose","=""1912248298""","=""9781912248292""",0,4.30,Repeater,Kindle Edition,821,2018,2018,,2022/01/18,to-read,to-read (#148),to-read,,,,0,0
51783,The Conquest of Happiness,Bertrand Russell,"Russell, Bertrand",,"=""0415378478""","=""9780415378475""",0,4.02,Routledge,Paperback,183,1976,1930,,2022/01/07,to-read,to-read (#147),to-read,,,,0,0
24861,Demian,Hermann Hesse,"Hesse, Hermann",Thomas Mann,"=""""","=""9783518367063""",0,4.14,Suhrkamp Verlag,Paperback,193,1996,1919,,2021/12/05,to-read,to-read (#146),to-read,,,,0,0
35658247,"Vengeance is Mine, All Others Pay Cash",Eka Kurniawan,"Kurniawan, Eka",Annie Tucker,"=""1782272763""","=""9781782272762""",0,3.95,Pushkin Press,Kindle Edition,233,2017,2014,,2021/11/09,to-read,to-read (#145),to-read,,,,0,0
624988,The Harder They Fall,Budd Schulberg,"Schulberg, Budd",,"=""1566631076""","=""9781566631075""",0,4.20,Ivan R. Dee,Paperback,357,1996,1947,,2021/11/04,to-read,to-read (#144),to-read,,,,0,0
108713,Pimp: The Story of My Life,Iceberg Slim,"Slim, Iceberg",Sapphire,"=""0862415934""","=""9780862415938""",0,4.00,Payback Pr,Paperback,311,2002,1967,,2021/10/30,to-read,to-read (#143),to-read,,,,0,0
5130,Island,Aldous Huxley,"Huxley, Aldous",,"=""0060085495""","=""9780060085490""",0,3.85,Harper Perennial Classics,Paperback,354,2002,1962,,2021/10/30,to-read,to-read (#142),to-read,,,,0,0
9658252,After the Future,"Franco ""Bifo"" Berardi","Berardi, Franco ""Bifo""","Gary Genosko, Nicholas Thoburn","=""1849350590""","=""9781849350594""",0,3.88,AK Press,Paperback,185,2011,2011,,2021/10/30,to-read,to-read (#141),to-read,,,,0,0
24724602,Flash Boys: A Wall Street Revolt,Michael   Lewis,"Lewis, Michael",,"=""0393351599""","=""9780393351590""",0,4.14,W. W. Norton & Company,Paperback,304,2015,2014,,2021/10/18,to-read,to-read (#140),to-read,,,,0,0
54785010,Er mor død,Vigdis Hjorth,"Hjorth, Vigdis",,"=""8202671825""","=""9788202671822""",0,3.83,Cappelen Damm,Hardcover,355,2020,2020,,2021/10/11,to-read,to-read (#139),to-read,,,,0,0
27516955,Planen,Morten Pape,"Pape, Morten",,"=""8740026701""","=""9788740026702""",0,4.34,Politiken,ebook,568,2015,2015,,2021/10/11,to-read,to-read (#137),to-read,,,,0,0
40839935,Guds bedste børn,Morten Pape,"Pape, Morten",,"=""8740030652""","=""9788740030655""",0,4.28,Politiken,Paperback,437,2018,2018,,2021/10/11,to-read,to-read (#138),to-read,,,,0,0
56988769,I ruiner,Morten Pape,"Pape, Morten",,"=""8740054853""","=""9788740054859""",0,3.80,Politiken,Paperback,603,2021,,,2021/10/11,to-read,to-read (#136),to-read,,,,0,0
45974,The Book of Disquiet,Fernando Pessoa,"Pessoa, Fernando","Bernardo Soares, Richard Zenith","=""0141183047""","=""9780141183046""",0,4.40,Penguin Classics,Paperback,544,2002,1982,,2021/10/04,to-read,to-read (#135),to-read,,,,0,0
12618,Chomsky On Anarchism,Noam Chomsky,"Chomsky, Noam",Barry Pateman,"=""1904859208""","=""9781904859208""",0,3.84,AK Press,Paperback,241,2005,2005,,2021/10/04,to-read,to-read (#134),to-read,,,,0,0
56397218,Mute Compulsion. A Theory of the Economic Power of Capital,Søren Mau,"Mau, Søren",,"=""""","=""""",0,4.37,,ebook,,2019,2023,,2021/10/04,to-read,to-read (#133),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",3,4.19,Harper,ebook,450,2017,2015,2018/08/21,2018/08/21,,,read,,,,2,0
135742,In Praise of Idleness and Other Essays,Bertrand Russell,"Russell, Bertrand",,"=""0415109248""","=""9780415109246""",0,4.04,Routledge,Paperback,192,1985,1935,,2021/10/01,to-read,to-read (#132),to-read,,,,0,0
647,No Logo,Naomi Klein,"Klein, Naomi",,"=""0312421435""","=""9780312421434""",0,3.89,Picador,Paperback,528,2002,2000,,2021/09/30,to-read,to-read (#131),to-read,,,,0,0
43157165,A Moth to a Flame,Stig Dagerman,"Dagerman, Stig",,"=""0241400732""","=""9780241400739""",0,3.72,Viking,Paperback,224,2019,1948,,2021/09/27,to-read,to-read (#130),to-read,,,,0,0
21119,The Ethics of Ambiguity,Simone de Beauvoir,"Beauvoir, Simone de",Bernard Frechtman,"=""080650160X""","=""9780806501604""",0,4.18,Citadel,Paperback,162,2000,1947,,2021/09/17,to-read,to-read (#129),to-read,,,,0,0
449407,Pensées,Blaise Pascal,"Pascal, Blaise","T.S. Eliot, A.J. Krailsheimer, George Iancu Ghidu","=""""","=""""",0,3.94,Penguin Classics,Paperback,334,1995,1670,,2021/09/10,to-read,to-read (#128),to-read,,,,0,0
40940603,Out of Egypt: A Memoir,André Aciman,"Aciman, André",,"=""""","=""""",0,4.02,"Farrar, Straus and Giroux",ebook,352,2007,1980,,2021/09/04,to-read,to-read (#127),to-read,,,,0,0
76507,The Emigrants,W.G. Sebald,"Sebald, W.G.",Michael Hulse,"=""0099448882""","=""9780099448884""",0,4.16,Vintage,Paperback,237,2002,1992,,2021/09/04,to-read,to-read (#126),to-read,,,,0,0
52741293,Shuggie Bain,Douglas   Stuart,"Stuart, Douglas",,"=""0802148042""","=""9780802148049""",0,4.30,Grove Press,Hardcover,430,2020,2020,,2021/08/30,to-read,to-read (#125),to-read,,,,0,0
18598018,Terningerne er kastet,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""""","=""""",4,3.97,Vintens Forlag,Paperback,158,1964,1947,,2021/08/07,,,read,,,,1,0
19499462,Postscript on the Societies of Control,Gilles Deleuze,"Deleuze, Gilles",,"=""""","=""""",0,4.31,,Paperback,10,1990,1990,,2021/08/07,to-read,to-read (#124),to-read,,,,0,0
53317371,Homo Irrealis: Essays,André Aciman,"Aciman, André",,"=""0374171874""","=""9780374171872""",0,3.83,"Farrar, Straus and Giroux",Hardcover,256,2021,2021,,2021/07/30,to-read,to-read (#123),to-read,,,,0,0
164006,Memoirs of a Dutiful Daughter,Simone de Beauvoir,"Beauvoir, Simone de",James Kirkup,"=""0060825197""","=""9780060825195""",0,4.13,Harper Perennial Modern Classics,Paperback,359,2005,1958,,2021/06/23,to-read,to-read (#122),to-read,,,,0,0
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",0,4.18,Vintage,Paperback,746,1989,1949,,2021/06/23,to-read,to-read (#121),to-read,,,,0,0
127232,On Revolution,Hannah Arendt,"Arendt, Hannah",Jonathan Schell,"=""0143039903""","=""9780143039907""",0,4.00,Penguin Classics,Paperback,336,2006,1956,,2021/05/16,to-read,to-read (#119),to-read,,,,0,0
52090,Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,"Arendt, Hannah",,"=""""","=""""",0,4.20,Penguin Classics,Paperback,312,2006,1963,,2021/05/16,to-read,to-read (#118),to-read,,,,0,0
37133029,Psychopolitics: Neoliberalism and New Technologies of Power,Byung-Chul Han,"Han, Byung-Chul",Erik Butler,"=""1784785784""","=""9781784785789""",0,4.08,Verso,Kindle Edition,96,2017,2014,,2021/04/20,to-read,to-read (#117),to-read,,,,0,0
25490360,The Burnout Society,Byung-Chul Han,"Han, Byung-Chul",Erik Butler,"=""0804795096""","=""9780804795098""",0,3.87,Stanford University Press,Paperback,60,2015,2010,,2021/04/20,to-read,to-read (#116),to-read,,,,0,0
5986375,"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,"Wallace, David Foster",,"=""0316068225""","=""9780316068222""",0,4.47,"Little, Brown and Company",Hardcover,138,2009,2009,,2021/04/11,to-read,to-read (#115),to-read,,,,0,0
51985,Existentialism is a Humanism,Jean-Paul Sartre,"Sartre, Jean-Paul","Arlette Elkaïm-Sartre, Annie Cohen-Solal, Carol Macomber","=""0300115466""","=""9780300115468""",0,3.98,Yale University Press,Paperback,122,2007,1946,,2021/04/11,to-read,to-read (#114),to-read,,,,0,0
11990,The Rebel,Albert Camus,"Camus, Albert",,"=""0679733841""","=""9780679733843""",0,4.14,Vintage,Paperback,320,1992,1951,,2021/04/11,to-read,to-read (#113),to-read,,,,0,0
39339934,Notes on Nationalism,George Orwell,"Orwell, George",,"=""0241339561""","=""9780241339565""",0,4.01,Penguin Classics,Paperback,52,2018,2012,,2021/04/11,to-read,to-read (#112),to-read,,,,0,0
36436095,I Have More Souls Than One,Fernando Pessoa,"Pessoa, Fernando",,"=""024133960X""","=""9780241339602""",0,3.97,Penguin,Paperback,64,2018,1918,,2021/04/11,to-read,to-read (#111),to-read,,,,0,0
4979,A Man Without a Country,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Daniel Simon,"=""081297736X""","=""9780812977363""",0,4.10,Random House Trade Paperbacks,Paperback,145,2007,2005,,2021/04/11,"to-read, bogklub","to-read (#110), bogklub (#7)",to-read,,,,0,0
18736925,Capital in the Twenty First Century,Thomas Piketty,"Piketty, Thomas",Arthur Goldhammer,"=""067443000X""","=""9780674430006""",0,4.06,Belknap Press: An Imprint of Harvard University Press,Hardcover,685,2014,2013,,2021/04/11,to-read,to-read (#109),to-read,,,,0,0
36436073,Create Dangerously,Albert Camus,"Camus, Albert",,"=""024133912X""","=""9780241339121""",0,3.85,Penguin Classics,Paperback,58,2018,1957,,2021/04/11,to-read,to-read (#108),to-read,,,,0,0
712820,Dark Spring,Unica Zürn,"Zürn, Unica",Caroline Rupprecht,"=""1878972308""","=""9781878972309""",0,4.07,Exact Change,Paperback,128,2000,1969,,2021/04/08,to-read,to-read (#107),to-read,,,,0,0
63033,The Savage Detectives,Roberto Bolaño,"Bolaño, Roberto",Natasha Wimmer,"=""0374191484""","=""9780374191481""",0,4.17,"Farrar, Straus and Giroux",Hardcover,577,2007,1998,,2021/04/08,to-read,to-read (#106),to-read,,,,0,0
780175,The Myth of Progress: Toward a Sustainable Future,Tom Wessels,"Wessels, Tom",,"=""1584654953""","=""9781584654957""",0,4.13,Univ of Vermont,Hardcover,131,2006,2006,,2021/04/06,to-read,to-read (#105),to-read,,,,0,0
52223,The Arcades Project,Walter Benjamin,"Benjamin, Walter","Howard Eiland, Kevin McLaughlin","=""0674008022""","=""9780674008021""",0,4.44,Belknap Press,Paperback,1088,2002,1982,,2021/04/06,to-read,to-read (#104),to-read,,,,0,0
10034,"The Age of Reason (Roads to Freedom, #1)",Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0679738959""","=""9780679738954""",0,3.98,Vintage International,Paperback,416,1992,1945,,2021/03/24,to-read,to-read (#103),to-read,,,,0,0
127963,What Is Art?,Leo Tolstoy,"Tolstoy, Leo",Aylmer Maude,"=""0735102937""","=""9780735102934""",0,3.73,Replica Books,Hardcover,252,2001,1897,,2021/03/20,to-read,to-read (#102),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,4.10,Dial Press,Paperback,275,1999,1969,,2021/03/20,to-read,to-read (#101),to-read,,,,0,0
40409718,Post Office,Charles Bukowski,"Bukowski, Charles",,"=""""","=""""",0,3.93,Ecco,ebook,162,2009,1971,,2021/03/18,to-read,to-read (#100),to-read,,,,0,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",0,4.06,Dell Publishing,Paperback,303,1999,1973,,2021/03/18,to-read,to-read (#99),to-read,,,,0,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.01,Spectra,Kindle Edition,559,2018,1992,,2021/03/13,to-read,to-read (#98),to-read,,,,0,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",Jack Womack,"=""""","=""""",0,3.89,Ace,Kindle Edition,268,2018,1984,,2021/03/13,to-read,to-read (#97),to-read,,,,0,0
1048424,Governing the Commons: The Evolution of Institutions for Collective Action (Political Economy of Institutions and Decisions),Elinor Ostrom,"Ostrom, Elinor",,"=""0521405998""","=""9780521405997""",0,4.22,Cambridge University Press,Paperback,298,1990,1990,,2021/02/18,to-read,to-read (#96),to-read,,,,0,0
250912,The Waste Makers,Vance Packard,"Packard, Vance",,"=""0671822942""","=""9780671822941""",0,4.03,Pocket,Unknown Binding,,1978,1960,,2021/02/18,to-read,to-read (#95),to-read,,,,0,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.17,Bantam,Hardcover,244,2004,1951,,2021/02/10,to-read,to-read (#94),to-read,,,,0,0
6294,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""006441034X""","=""9780064410342""",0,4.29,Harper Trophy,Mass Market Paperback,329,2001,1986,,2021/01/29,to-read,to-read (#93),to-read,,,,0,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",0,4.02,Viking,Hardcover,496,2014,1939,,2021/01/29,to-read,to-read (#92),to-read,,,,0,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",0,4.00,Alfred A. Knopf,Hardcover,241,2006,2006,,2021/01/25,to-read,to-read (#91),to-read,,,,0,0
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",0,3.92,Vintage,Paperback,581,1995,1952,,2021/01/25,to-read,to-read (#90),to-read,,,,0,0
2761,The Denial of Death,Ernest Becker,"Becker, Ernest",Sam Keen,"=""""","=""""",0,4.05,Free Press,Paperback,336,1997,1973,,2021/01/21,to-read,to-read (#89),to-read,,,,0,0
50158595,To Be Honest: A Memoir,Michael Leviton,"Leviton, Michael",,"=""1419743058""","=""9781419743054""",0,3.82,Abrams Press,Hardcover,304,2021,2021,,2021/01/21,to-read,to-read (#88),to-read,,,,0,0
1293976,Shyness and Dignity,Dag Solstad,"Solstad, Dag",Sverre Lyngstad,"=""1555974465""","=""9781555974466""",0,3.82,Graywolf Press,Paperback,150,2006,1994,,2021/01/21,to-read,to-read (#87),to-read,,,,0,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",0,3.93,New Directions,Hardcover,178,1969,1938,,2021/01/21,to-read,to-read (#86),to-read,,,,0,0
12534,Teaching a Stone to Talk: Expeditions and Encounters,Annie Dillard,"Dillard, Annie",,"=""0060915412""","=""9780060915414""",0,4.15,Harper Perennial,Paperback,175,1988,1982,,2021/01/21,to-read,to-read (#85),to-read,,,,0,0
127233,The Life of the Mind,Hannah Arendt,"Arendt, Hannah",Mary McCarthy,"=""0156519925""","=""9780156519922""",0,4.25,Harvest Books,Paperback,521,1981,1971,,2021/01/21,to-read,to-read (#84),to-read,,,,0,0
396931,The Origins of Totalitarianism,Hannah Arendt,"Arendt, Hannah",,"=""""","=""""",0,4.30,Harcourt Brace Jovanovich,Paperback,527,1973,1951,,2021/01/21,to-read,to-read (#83),to-read,,,,0,0
138878,The Way to Love: The Last Meditations of Anthony de Mello,Anthony de Mello,"Mello, Anthony de",,"=""038524939X""","=""9780385249393""",0,4.30,Image,Paperback,196,1995,1991,,2021/01/16,to-read,to-read (#82),to-read,,,,0,0
867247,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"Musashi, Miyamoto","Victor Harris, Lew Hartman","=""0517415283""","=""9780517415283""",0,3.95,Gramercy,Hardcover,192,1988,1645,,2021/01/16,to-read,to-read (#81),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.37,Scribner,Hardcover,368,2017,2017,,2021/01/02,to-read,to-read (#80),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.22,"Little, Brown and Company",Hardcover,393,2018,2018,,2020/12/27,to-read,to-read (#79),to-read,,,,0,0
99690,No Man Is an Island,Thomas Merton,"Merton, Thomas",,"=""1590302532""","=""9781590302538""",0,4.15,Shambhala,Hardcover,272,2005,1955,,2020/12/16,to-read,to-read (#78),to-read,,,,0,0
